,precision,recall,f1-score,support
Anthracnose,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
Bacterial Blight,1.0,1.0,1.0,16.0
Citrus Canker,0.9285714285714286,1.0,0.9629629629629629,26.0
Curl Virus,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
Deficiency Leaf,1.0,1.0,1.0,29.0
Dry Leaf,1.0,0.9642857142857143,0.9818181818181818,28.0
Healthy Leaf,0.9393939393939394,1.0,0.96875,31.0
Sooty Mould,1.0,0.9565217391304348,0.9777777777777777,23.0
Spider Mites,1.0,0.9411764705882353,0.9696969696969697,17.0
Witch's Broom,1.0,0.990909090909091,0.9954337899543378,110.0
accuracy,0.9808306709265175,0.9808306709265175,0.9808306709265175,0.9808306709265175
macro avg,0.9745743145743144,0.9730670792691253,0.9734217459988008,313.0
weighted avg,0.9816743426967068,0.9808306709265175,0.9809285955164877,313.0
