,precision,recall,f1-score,support
Anthracnose,0.9375,1.0,0.967741935483871,15.0
Bacterial Blight,0.9411764705882353,1.0,0.9696969696969697,16.0
Citrus Canker,1.0,1.0,1.0,26.0
Curl Virus,1.0,0.9444444444444444,0.9714285714285714,18.0
Deficiency Leaf,1.0,1.0,1.0,29.0
Dry Leaf,1.0,1.0,1.0,28.0
Healthy Leaf,0.96875,1.0,0.9841269841269841,31.0
Sooty Mould,1.0,0.9565217391304348,0.9777777777777777,23.0
Spider Mites,1.0,0.9411764705882353,0.9696969696969697,17.0
Witch's Broom,1.0,1.0,1.0,110.0
accuracy,0.9904153354632588,0.9904153354632588,0.9904153354632588,0.9904153354632588
macro avg,0.9847426470588235,0.9842142654163114,0.9840469208211143,313.0
weighted avg,0.9909027908287916,0.9904153354632588,0.9904110821559033,313.0
